,,,SOC,SEI,Power,T,,delta SEI
1,24346,25426,80,1.00E-08,-1,23,1E-08,2.7679944838E-19
2,24346,25426,80,1.00E-08,-0.89474,23,1E-08,-2.5237942233E-19
3,24346,25426,80,1.00E-08,-0.78947,23,1E-08,-8.5639663179E-20
4,24346,25426,80,1.00E-08,-0.68421,23,1E-08,2.6030050388E-19
5,24346,25426,80,1.00E-08,-0.57895,23,1E-08,4.8980011047E-19
6,24346,25426,80,1.00E-08,-0.47368,23,1E-08,6.0140001000E-19
7,24346,25426,80,1.00E-08,-0.36842,23,1E-08,-6.5941018635E-19
8,24346,25426,80,1.00E-08,-0.26316,23,1E-08,-2.0153097572E-19
9,24346,25426,80,1.00E-08,-0.15789,23,1E-08,4.2300362165E-20
10,24346,25426,80,1.00E-08,-0.052632,23,,#VALUE!
11,24346,25426,80,1.00E-08,0.052632,23,1E-08,4.4954737006E-15
12,24346,25426,80,1.00E-08,0.15789,23,1E-08,4.6426008006E-15
13,24346,25426,80,1.00E-08,0.26316,23,1E-08,4.7955412002E-15
14,24346,25426,80,1.00E-08,0.36842,23,1E-08,4.9583569006E-15
15,24346,25426,80,1.00E-08,0.47368,23,1E-08,5.1272288998E-15
16,24346,25426,80,1.00E-08,0.57895,23,1E-08,5.3036667990E-15
17,24346,25426,80,1.00E-08,0.68421,23,1E-08,5.4895649000E-15
18,24346,25426,80,1.00E-08,0.78947,23,1E-08,5.6831809996E-15
19,24346,25426,80,1.00E-08,0.89474,23,1E-08,5.8877620004E-15
20,24346,25426,80,1.00E-08,1,23,1E-08,6.1004815997E-15
21,24346,25426,80,1.11E-08,-1,23,1.1111E-08,1.1000000194E-11
22,24346,25426,80,1.11E-08,-0.89474,23,1.1111E-08,1.0999999982E-11
23,24346,25426,80,1.11E-08,-0.78947,23,1.1111E-08,1.1000000751E-11
24,24346,25426,80,1.11E-08,-0.68421,23,1.1111E-08,1.1000000233E-11
25,24346,25426,80,1.11E-08,-0.57895,23,1.1111E-08,1.1000000053E-11
26,24346,25426,80,1.11E-08,-0.47368,23,1.1111E-08,1.0999999832E-11
27,24346,25426,80,1.11E-08,-0.36842,23,1.1111E-08,1.0999999046E-11
28,24346,25426,80,1.11E-08,-0.26316,23,1.1111E-08,1.0999999840E-11
29,24346,25426,80,1.11E-08,-0.15789,23,1.1111E-08,1.1000000182E-11
30,24346,25426,80,1.11E-08,-0.052632,23,1.1111E-08,1.1000000016E-11
31,24346,25426,80,1.11E-08,0.052632,23,1.1111E-08,1.1004489603E-11
32,24346,25426,80,1.11E-08,0.15789,23,1.1111E-08,1.1004629473E-11
33,24346,25426,80,1.11E-08,0.26316,23,1.1111E-08,1.1004774741E-11
34,24346,25426,80,1.11E-08,0.36842,23,1.1111E-08,1.1004927916E-11
35,24346,25426,80,1.11E-08,0.47368,23,1.1111E-08,1.1005087219E-11
36,24346,25426,80,1.11E-08,0.57895,23,1.1111E-08,1.1005253760E-11
37,24346,25426,80,1.11E-08,0.68421,23,1.1111E-08,1.1005428631E-11
38,24346,25426,80,1.11E-08,0.78947,23,1.1111E-08,1.1005609758E-11
39,24346,25426,80,1.11E-08,0.89474,23,1.1111E-08,1.1005800379E-11
40,24346,25426,80,1.11E-08,1,23,1.1111E-08,1.1005997239E-11
41,24346,25426,80,1.22E-08,-1,23,1.2222E-08,2.1999999885E-11
42,24346,25426,80,1.22E-08,-0.89474,23,1.2222E-08,2.1999999685E-11
43,24346,25426,80,1.22E-08,-0.78947,23,1.2222E-08,2.1999999848E-11
44,24346,25426,80,1.22E-08,-0.68421,23,1.2222E-08,2.2000000144E-11
45,24346,25426,80,1.22E-08,-0.57895,23,1.2222E-08,2.2000000354E-11
46,24346,25426,80,1.22E-08,-0.47368,23,1.2222E-08,2.1999999904E-11
47,24346,25426,80,1.22E-08,-0.36842,23,1.2222E-08,2.2000000251E-11
48,24346,25426,80,1.22E-08,-0.26316,23,1.2222E-08,2.1999999623E-11
49,24346,25426,80,1.22E-08,-0.15789,23,1.2222E-08,2.2000000313E-11
50,24346,25426,80,1.22E-08,-0.052632,23,1.2222E-08,2.1999999865E-11
51,24346,25426,80,1.22E-08,0.052632,23,1.2222E-08,2.2004485594E-11
52,24346,25426,80,1.22E-08,0.15789,23,1.2222E-08,2.2004619652E-11
53,24346,25426,80,1.22E-08,0.26316,23,1.2222E-08,2.2004759166E-11
54,24346,25426,80,1.22E-08,0.36842,23,1.2222E-08,2.2004904719E-11
55,24346,25426,80,1.22E-08,0.47368,23,1.2222E-08,2.2005056763E-11
56,24346,25426,80,1.22E-08,0.57895,23,1.2222E-08,2.2005214866E-11
57,24346,25426,80,1.22E-08,0.68421,23,1.2222E-08,2.2005379694E-11
58,24346,25426,80,1.22E-08,0.78947,23,1.2222E-08,2.2005550800E-11
59,24346,25426,80,1.22E-08,0.89474,23,1.2222E-08,2.2005730502E-11
60,24346,25426,80,1.22E-08,1,23,1.2222E-08,2.2005915080E-11
61,24346,25426,80,1.33E-08,-1,23,1.3333E-08,3.3000000311E-11
62,24346,25426,80,1.33E-08,-0.89474,23,1.3333E-08,3.3000000089E-11
63,24346,25426,80,1.33E-08,-0.78947,23,1.3333E-08,3.3000000399E-11
64,24346,25426,80,1.33E-08,-0.68421,23,1.3333E-08,3.2999999473E-11
65,24346,25426,80,1.33E-08,-0.57895,23,1.3333E-08,3.3000000261E-11
66,24346,25426,80,1.33E-08,-0.47368,23,1.3333E-08,3.3000000325E-11
67,24346,25426,80,1.33E-08,-0.36842,23,1.3333E-08,3.3000000054E-11
68,24346,25426,80,1.33E-08,-0.26316,23,1.3333E-08,3.3000000661E-11
69,24346,25426,80,1.33E-08,-0.15789,23,1.3333E-08,3.2999999225E-11
70,24346,25426,80,1.33E-08,-0.052632,23,1.3333E-08,3.3000000023E-11
71,24346,25426,80,1.33E-08,0.052632,23,1.3333E-08,3.3004482717E-11
72,24346,25426,80,1.33E-08,0.15789,23,1.3333E-08,3.3004611590E-11
73,24346,25426,80,1.33E-08,0.26316,23,1.3333E-08,3.3004745989E-11
74,24346,25426,80,1.33E-08,0.36842,23,1.3333E-08,3.3004885628E-11
75,24346,25426,80,1.33E-08,0.47368,23,1.3333E-08,3.3005031067E-11
76,24346,25426,80,1.33E-08,0.57895,23,1.3333E-08,3.3005182153E-11
77,24346,25426,80,1.33E-08,0.68421,23,1.3333E-08,3.3005338927E-11
78,24346,25426,80,1.33E-08,0.78947,23,1.3333E-08,3.3005502561E-11
79,24346,25426,80,1.33E-08,0.89474,23,1.3333E-08,3.3005672260E-11
80,24346,25426,80,1.33E-08,1,23,1.3333E-08,3.3005848241E-11
81,24346,25426,80,1.44E-08,-1,23,1.4444E-08,4.3999999700E-11
82,24346,25426,80,1.44E-08,-0.89474,23,1.4444E-08,4.4000000174E-11
83,24346,25426,80,1.44E-08,-0.78947,23,1.4444E-08,4.4000000198E-11
84,24346,25426,80,1.44E-08,-0.68421,23,1.4444E-08,4.4000000050E-11
85,24346,25426,80,1.44E-08,-0.57895,23,1.4444E-08,4.3999999431E-11
86,24346,25426,80,1.44E-08,-0.47368,23,1.4444E-08,4.4000000123E-11
87,24346,25426,80,1.44E-08,-0.36842,23,1.4444E-08,4.4000000056E-11
88,24346,25426,80,1.44E-08,-0.26316,23,1.4444E-08,4.4000000307E-11
89,24346,25426,80,1.44E-08,-0.15789,23,1.4444E-08,4.3999999212E-11
90,24346,25426,80,1.44E-08,-0.052632,23,1.4444E-08,4.4000000034E-11
91,24346,25426,80,1.44E-08,0.052632,23,1.4444E-08,4.4004480410E-11
92,24346,25426,80,1.44E-08,0.15789,23,1.4444E-08,4.4004605311E-11
93,24346,25426,80,1.44E-08,0.26316,23,1.4444E-08,4.4004735103E-11
94,24346,25426,80,1.44E-08,0.36842,23,1.4444E-08,4.4004869585E-11
95,24346,25426,80,1.44E-08,0.47368,23,1.4444E-08,4.4005008497E-11
96,24346,25426,80,1.44E-08,0.57895,23,1.4444E-08,4.4005154331E-11
97,24346,25426,80,1.44E-08,0.68421,23,1.4444E-08,4.4005304211E-11
